1,001-0001,Travesseiro,"550.00",Travesseiro de plumas de ganso suíço.,1
2,001-0002,Lençol,"1250.30",Lençol de mil fios egípcios tamanho KING.,1
3,001-0003,Cobertore,"5200.00",Cobertor de setin irlandês tamanho KING.,1
4,001-0004,Manta,"1689.90",Manta de seda fina tamanho KING.,1
5,001-0005,Almofada,"399.90",Almofada de pluma de ganso finlandês.,1
6,002-0001,Toalha de corpo,"665.90",Toalha de corpo de lã tamanho DOBLE.,2
7,002-0002,Toalha de rosto,"495.39",Toalha de rosto de lã tamanho MEDIUM.,2
8,002-0003,Roupão,"620.90",Roupão de lã de alto padrão tamanho ALL-BODY.,2
9,002-0004,Suporte para Shampoo,"758.30",Suporte metálico para cremes e sais de banho.,2
10,003-0001,Caminhos de mesa,"364.50",Camiho de mesa de tecidos finos.,3
11,003-0002,Jogo americano,"356.00",Jogo americano de alto padrão para auxílio no jantar.,3
12,003-0003,Porta copos,"258.90",Suporte de couro refinado para copos.,3
13,003-0004,Guardanapo,"550.00",Guardanapos de tecido com aparador metálico.,3
14,004-0001,Quadro,"6789.90",Quadros de obras expressivas e modernas.,4
15,004-0002,Vaso,"3360.30",Vaso contemporâneo de cerâmica.,4
16,004-0003,Carpete,"5543.00",Carpete peludo de altíssimo nível tamanho BIG.,4
17,004-0004,Espelho,"959.90",Espelho de parede com bordas personalizadas.,4
18,004-0005,Cortina,"3560.00",Cortina BLACKOUT de pé duplo.,4
19,004-0006,Escultura,"3130.00",Escultura artísticas de formas representativas.,4
20,004-0007,Gotas de cristal,"890.00",Peças de cristal aquecido e moldado em prensa.,4
21,005-0001,Taça,"2360.00",Taça de cristal inglês resfriado em nitrogênio.,5
22,005-0002,Copo,"590.00",Copos de cristal moderno e detalhados.,5
23,005-0003,Xícara,"790.00",Xícaras de porcelanas chinesa.,5
24,005-0004,Prato,"1326.30",Prato de louça inglesa formas variadas. ,5
25,005-0005,Louça,"2549.90",Louças de acompanhamento à mesa de jantar.,5
26,005-0006,Talheres,"1564.00",Peças de metal com designe moderno.,5
27,006-0001,Abajur,"798.90",Peça de iluminação de luz branca para leitura.,6
28,006-0002,Lustre,"7560.00",Peça de iluminação moderna material em cristal de alto padrão.,6
29,006-0003,Candelabro,"1260.00",Candelabro de mesa em metal de pequeno porte.,6
30,006-0004,Pendente,"3250.00",Peça de iluminação moderna pendente ao teto.,6
31,007-0001,Sofá,"12330.25",Móvel estofado de alto padrão em veludo.,7
32,007-0002,Mesa,"9564.64",Mesa com chapa em cristal inglês e designe moderno.,7
33,007-0003,Cama,"6852.00",Cama KING forrada com molas ensacadas e DOUBLE-FOOT.,7
34,007-0004,Geladeira,"24512.20",Refrigerador SIDE BY SIDE frost-free material metálico.,7
35,007-0005,Armário,"5232.23",Armário de portas longas e multiplas material em madeira e inbutível.,7
36,007-0006,Cadeira,"856.20",Cadeiras de alto padrão material estofado de veludo.,7
37,007-0007,Poltrona,"2630.00",Poltrona de estofada Mona luxo madeira maciça.,7
38,007-0008,Televisor,"4500.00",SMART TV LED FULL HD designe sem bordas.,7
39,007-0009,Lava-louças,"3625.65",Máquina de alto porte para auxílio na cosinha.,7
40,007-0010,Fogão,"4548.85",Chapa de vidro temperado designe BLACKOUT.,7
41,008-0001,Torneira,"85000",Torneira preta de estrutura metálica multi-funtions.,8